,year,temp_avg,temp_min,temp_max
0,2010-01,-4.5,-8.1,-0.7
1,2010-02,1.4,-1.7,4.9
2,2010-03,4.3,0.5,8.1
3,2010-04,9.5,5.6,14.0
4,2010-05,17.2,13.0,22.0
5,2010-06,23.4,19.3,28.2
6,2010-07,25.8,23.1,29.3
7,2010-08,26.5,23.8,30.0
8,2010-09,21.8,18.5,26.0
9,2010-10,14.5,10.4,19.3
10,2010-11,6.5,2.5,11.3
11,2010-12,-1.3,-5.1,3.1
12,2011-01,-7.2,-10.5,-3.4
13,2011-02,1.2,-2.5,5.9
14,2011-03,3.6,-0.1,8.3
15,2011-04,10.7,6.8,15.6
16,2011-05,17.9,13.6,23.0
17,2011-06,22.0,18.4,26.6
18,2011-07,24.6,22.0,28.0
19,2011-08,25.8,23.0,29.5
20,2011-09,21.8,17.7,26.6
21,2011-10,14.2,9.7,19.3
22,2011-11,10.7,7.2,14.7
23,2011-12,-0.9,-4.1,2.9
24,2012-01,-2.8,-6.3,1.3
25,2012-02,-2.0,-6.0,3.0
26,2012-03,5.1,1.5,9.5
27,2012-04,12.3,7.8,17.9
28,2012-05,19.7,15.4,25.1
29,2012-06,24.1,20.0,29.7
30,2012-07,25.4,22.4,29.0
31,2012-08,27.1,23.9,30.9
32,2012-09,21.0,17.4,25.0
33,2012-10,15.3,11.0,20.5
34,2012-11,5.5,1.8,9.5
35,2012-12,-4.1,-7.4,-0.5
36,2013-01,-3.4,-6.6,0.3
37,2013-02,-1.2,-4.9,2.8
38,2013-03,5.1,0.7,10.8
39,2013-04,10.0,5.7,15.0
40,2013-05,18.2,13.7,23.6
41,2013-06,24.4,20.5,29.2
42,2013-07,25.5,23.4,28.3
43,2013-08,27.7,24.8,31.1
44,2013-09,21.8,18.0,25.9
45,2013-10,15.8,10.9,21.2
46,2013-11,6.2,2.1,10.7
47,2013-12,-0.2,-3.5,3.5
48,2014-01,-0.7,-4.9,3.5
49,2014-02,1.9,-1.8,6.6
50,2014-03,7.9,3.5,13.1
51,2014-04,14.0,9.4,19.6
52,2014-05,18.9,13.8,25.3
53,2014-06,23.1,19.7,27.8
54,2014-07,26.1,22.9,30.6
55,2014-08,25.2,22.1,29.0
56,2014-09,22.1,18.0,27.0
57,2014-10,15.6,10.7,21.4
58,2014-11,9.0,4.9,13.8
59,2014-12,-2.9,-6.7,1.5
60,2015-01,-0.9,-4.8,3.6
61,2015-02,1.0,-2.9,6.0
62,2015-03,6.3,1.0,12.4
63,2015-04,13.3,8.4,18.8
64,2015-05,18.9,13.6,24.9
65,2015-06,23.6,18.9,29.5
66,2015-07,25.8,22.6,30.0
67,2015-08,26.3,22.8,30.8
68,2015-09,22.4,17.5,28.1
69,2015-10,15.5,10.8,21.2
70,2015-11,8.9,5.9,12.7
71,2015-12,1.6,-2.1,6.0
72,2016-01,-3.2,-6.8,1.1
73,2016-02,0.2,-4.1,5.1
74,2016-03,7.0,2.4,12.6
75,2016-04,14.1,9.1,20.3
76,2016-05,19.6,14.1,25.7
77,2016-06,23.6,19.5,28.7
78,2016-07,26.2,23.3,29.8
79,2016-08,28.0,24.5,32.6
80,2016-09,23.1,19.3,27.9
81,2016-10,16.1,11.6,21.3
82,2016-11,6.8,2.8,11.6
83,2016-12,1.2,-2.7,5.8
84,2017-01,-1.8,-5.8,2.9
85,2017-02,-0.2,-4.7,4.8
86,2017-03,6.3,1.7,12.3
87,2017-04,13.9,9.1,20.0
88,2017-05,19.5,14.4,25.4
89,2017-06,23.3,18.7,28.8
90,2017-07,26.9,24.3,30.4
91,2017-08,25.9,22.9,29.7
92,2017-09,22.1,17.5,27.4
93,2017-10,16.4,11.6,22.5
94,2017-11,5.6,1.3,10.5
95,2017-12,-1.9,-5.7,2.2
96,2018-01,-4.0,-7.3,0.1
97,2018-02,-1.6,-5.9,3.3
98,2018-03,8.1,3.8,13.6
99,2018-04,13.0,8.1,18.5
100,2018-05,18.2,13.4,23.3
101,2018-06,23.1,18.9,28.4
102,2018-07,27.8,24.2,32.1
103,2018-08,28.8,25.2,33.3
104,2018-09,21.5,17.6,26.0
105,2018-10,13.1,8.5,18.6
106,2018-11,7.8,3.6,13.2
107,2018-12,-0.6,-4.7,4.1
108,2019-01,-0.9,-5.1,4.1
109,2019-02,1.0,-3.2,6.0
110,2019-03,7.1,2.7,12.4
111,2019-04,12.1,7.2,17.6
112,2019-05,19.4,13.7,25.6
113,2019-06,22.5,18.1,27.7
114,2019-07,25.9,22.7,30.1
115,2019-08,27.2,23.6,31.6
116,2019-09,22.6,19.0,27.1
117,2019-10,16.4,11.8,21.8
118,2019-11,7.6,3.1,12.9
119,2019-12,1.4,-2.6,5.3
120,2020-01,1.6,-1.7,5.9
121,2020-02,2.5,-1.3,7.2
122,2020-03,7.7,2.6,13.3
123,2020-04,11.1,6.3,16.6
124,2020-05,18.0,13.7,23.3
125,2020-06,23.9,19.9,29.0
126,2020-07,24.1,21.1,28.0
127,2020-08,26.5,24.4,29.3
128,2020-09,21.4,18.0,25.6
129,2020-10,14.3,9.6,19.5
130,2020-11,8.0,4.0,12.6
131,2020-12,-0.3,-4.2,3.9
132,2021-01,-2.4,-6.8,2.2
133,2021-02,2.7,-2.2,7.9
134,2021-03,9.0,4.3,14.8
135,2021-04,14.2,9.5,19.5
136,2021-05,17.1,12.8,21.9
137,2021-06,22.8,18.9,27.6
138,2021-07,28.1,24.6,32.2
139,2021-08,25.9,22.8,29.7
140,2021-09,22.6,18.8,26.9
