rank,title,singer,album,date,like,year,month,day,week,season
43,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2010.12.05,180205,2010,12,5,2,1
7,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2010.12.12,180205,2010,12,12,3,1
8,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2010.12.19,180205,2010,12,19,4,1
15,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2010.12.26,180205,2010,12,26,5,1
23,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2011.01.02,180205,2010,1,2,1,1
37,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2011.01.09,180205,2010,1,9,2,1
55,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2011.01.16,180205,2010,1,16,3,1
68,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2011.01.23,180205,2010,1,23,4,1
82,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2011.01.30,180205,2010,1,30,1,1
76,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2011.12.25,180205,2011,12,25,5,1
60,여수 밤바다,버스커 버스커,버스커 버스커 1집,2012.03.25,158070,2012,3,25,5,0
16,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2012.03.25,345231,2012,3,25,5,0
69,꽃송이가,버스커 버스커,버스커 버스커 1집,2012.03.25,102899,2012,3,25,5,0
13,꽃송이가,버스커 버스커,버스커 버스커 1집,2012.04.01,102899,2012,4,1,1,0
1,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2012.04.01,345231,2012,4,1,1,0
6,여수 밤바다,버스커 버스커,버스커 버스커 1집,2012.04.01,158070,2012,4,1,1,0
3,여수 밤바다,버스커 버스커,버스커 버스커 1집,2012.04.08,158070,2012,4,8,2,0
10,꽃송이가,버스커 버스커,버스커 버스커 1집,2012.04.08,102899,2012,4,8,2,0
1,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2012.04.08,345231,2012,4,8,2,0
8,꽃송이가,버스커 버스커,버스커 버스커 1집,2012.04.15,102899,2012,4,15,3,0
5,여수 밤바다,버스커 버스커,버스커 버스커 1집,2012.04.15,158070,2012,4,15,3,0
2,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2012.04.15,345231,2012,4,15,3,0
2,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2012.04.22,345231,2012,4,22,4,0
10,꽃송이가,버스커 버스커,버스커 버스커 1집,2012.04.22,102899,2012,4,22,4,0
7,여수 밤바다,버스커 버스커,버스커 버스커 1집,2012.04.22,158070,2012,4,22,4,0
3,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2012.04.29,345231,2012,4,29,1,0
13,꽃송이가,버스커 버스커,버스커 버스커 1집,2012.04.29,102899,2012,4,29,1,0
11,여수 밤바다,버스커 버스커,버스커 버스커 1집,2012.04.29,158070,2012,4,29,1,0
16,꽃송이가,버스커 버스커,버스커 버스커 1집,2012.05.06,102899,2012,5,6,2,0
5,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2012.05.06,345231,2012,5,6,2,0
12,여수 밤바다,버스커 버스커,버스커 버스커 1집,2012.05.06,158070,2012,5,6,2,0
7,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2012.05.13,345231,2012,5,13,3,0
15,여수 밤바다,버스커 버스커,버스커 버스커 1집,2012.05.13,158070,2012,5,13,3,0
19,꽃송이가,버스커 버스커,버스커 버스커 1집,2012.05.13,102899,2012,5,13,3,0
11,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2012.05.20,345231,2012,5,20,4,0
22,여수 밤바다,버스커 버스커,버스커 버스커 1집,2012.05.20,158070,2012,5,20,4,0
26,꽃송이가,버스커 버스커,버스커 버스커 1집,2012.05.20,102899,2012,5,20,4,0
12,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2012.05.27,345231,2012,5,27,5,0
25,여수 밤바다,버스커 버스커,버스커 버스커 1집,2012.05.27,158070,2012,5,27,5,0
29,꽃송이가,버스커 버스커,버스커 버스커 1집,2012.05.27,102899,2012,5,27,5,0
94,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2012.12.03,236566,2012,12,3,1,1
10,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2012.12.03,171261,2012,12,3,1,1
48,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2012.12.10,236566,2012,12,10,2,1
2,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2012.12.10,171261,2012,12,10,2,1
35,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2012.12.17,236566,2012,12,17,3,1
3,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2012.12.17,171261,2012,12,17,3,1
5,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2012.12.24,171261,2012,12,24,4,1
97,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2012.12.24,180205,2012,12,24,4,1
30,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2012.12.24,236566,2012,12,24,4,1
12,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2012.12.31,171261,2012,12,31,1,1
22,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2013.01.07,171261,2012,1,7,2,1
30,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2013.01.14,171261,2012,1,14,3,1
44,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2013.01.21,171261,2012,1,21,4,1
59,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2013.01.28,171261,2012,1,28,5,1
