rank,title,singer,album,date,like,year,month,day,week,season
43,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.01.01.01,39656,2024,1,1,1,1
50,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,2024.01.01.01,42790,2024,1,1,1,1
56,화이트 (White),폴킴,화이트 (White),2024.01.01.01,18814,2024,1,1,1,1
57,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.01.01,135142,2024,1,1,1,1
60,GODS,"NewJeans, League of Legends",2023 리그 오브 레전드 월드 챔피언십 주제곡,2024.01.01.01,46175,2024,1,1,1,1
72,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.01.01,265321,2024,1,1,1,1
75,I Love My Body,화사 (HWASA),I Love My Body,2024.01.01.01,34652,2024,1,1,1,1
83,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2,2024.01.01.01,33824,2024,1,1,1,1
84,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2024.01.01.01,171262,2024,1,1,1,1
88,Summer (Feat. BE’O (비오)),Paul Blanco,Summer,2024.01.01.01,133867,2024,1,1,1,1
89,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.01.01.01,283178,2024,1,1,1,1
92,숲,최유리,유영,2024.01.01.01,113667,2024,1,1,1,1
93,3D (feat. Jack Harlow),"정국, Jack Harlow",3D (feat. Jack Harlow),2024.01.01.01,59980,2024,1,1,1,1
94,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2024.01.01.01,236566,2024,1,1,1,1
95,어른,Sondia,나의 아저씨 OST Part.2,2024.01.01.01,245738,2024,1,1,1,1
96,Merry PLLIstmas,PLAVE,Merry PLLIstmas,2024.01.01.01,31234,2024,1,1,1,1
97,꽃,지수 (JISOO),ME,2024.01.01.01,123506,2024,1,1,1,1
98,A bientot,임영웅,IM HERO,2024.01.01.01,55639,2024,1,1,1,1
99,Yes or No,정국,GOLDEN,2024.01.01.01,38696,2024,1,1,1,1
100,희재,성시경,국화꽃 향기 OST,2024.01.01.01,161671,2024,1,1,1,1
48,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.01.08.02,39656,2024,1,8,2,1
60,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.08.02,135142,2024,1,8,2,1
63,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,2024.01.08.02,42790,2024,1,8,2,1
72,GODS,"NewJeans, League of Legends",2023 리그 오브 레전드 월드 챔피언십 주제곡,2024.01.08.02,46175,2024,1,8,2,1
78,I Love My Body,화사 (HWASA),I Love My Body,2024.01.08.02,34652,2024,1,8,2,1
80,화이트 (White),폴킴,화이트 (White),2024.01.08.02,18814,2024,1,8,2,1
82,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.08.02,265321,2024,1,8,2,1
86,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2,2024.01.08.02,33824,2024,1,8,2,1
90,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.01.08.02,283178,2024,1,8,2,1
92,Summer (Feat. BE’O (비오)),Paul Blanco,Summer,2024.01.08.02,133867,2024,1,8,2,1
93,어른,Sondia,나의 아저씨 OST Part.2,2024.01.08.02,245738,2024,1,8,2,1
94,숲,최유리,유영,2024.01.08.02,113667,2024,1,8,2,1
95,A bientot,임영웅,IM HERO,2024.01.08.02,55639,2024,1,8,2,1
96,꽃,지수 (JISOO),ME,2024.01.08.02,123506,2024,1,8,2,1
97,3D (feat. Jack Harlow),"정국, Jack Harlow",3D (feat. Jack Harlow),2024.01.08.02,59980,2024,1,8,2,1
98,Yes or No,정국,GOLDEN,2024.01.08.02,38696,2024,1,8,2,1
