rank,title,singer,album,date,like
5,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.01.01,287040
17,Ditto,NewJeans,NewJeans 'OMG',2024.01.01.01,281588
19,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.01.01.01,295879
23,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.01.01,287894
25,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.01.01.01,212198
30,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.01.01,436857
33,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.01.01.01,206592
34,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.01.01.01,322187
42,취중고백,김민석,취중고백,2024.01.01.01,183412
45,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.01.01.01,249361
49,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.01.01.01,202590
51,After LIKE,IVE (아이브),After LIKE,2024.01.01.01,241599
54,주저하는 연인들을 위해,잔나비,전설,2024.01.01.01,416855
55,해요 (2022),#안녕,해요 (2022),2024.01.01.01,97912
57,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.01.01,135142
58,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.01.01.01,188432
61,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.01.01.01,438895
62,우리들의 블루스,임영웅,IM HERO,2024.01.01.01,104437
63,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.01.01,239228
65,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.01.01.01,463005
72,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.01.01,265321
77,다시 만날 수 있을까,임영웅,IM HERO,2024.01.01.01,84925
78,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.01.01.01,561706
80,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.01.01.01,174425
