rank,title,singer,album,date,like
1,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2024.01.01.01,114191
2,Drama,aespa,Drama - The 4th Mini Album,2024.01.01.01,85818
3,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2024.01.01.01,143931
4,비의 랩소디,임재현,비의 랩소디,2024.01.01.01,68931
5,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.01.01,287040
6,헤어지자 말해요,박재정,1집 Alone,2024.01.01.01,169714
7,인사,범진,인사,2024.01.01.01,107860
8,Baddie,IVE (아이브),I'VE MINE,2024.01.01.01,68660
9,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.01.01,98248
10,Love Lee,AKMU (악뮤),Love Lee,2024.01.01.01,121202
11,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.01.01,208123
12,I AM,IVE (아이브),I've IVE,2024.01.01.01,213131
13,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.01.01,69423
14,에피소드,이무진,에피소드,2024.01.01.01,68436
15,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.01.01,125291
16,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.01.01,162158
17,Ditto,NewJeans,NewJeans 'OMG',2024.01.01.01,281588
18,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.01.01,85750
19,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.01.01.01,295879
20,ETA,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.01.01,120579
21,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",2024.01.01.01,79716
22,퀸카 (Queencard),(여자)아이들,I feel,2024.01.01.01,143725
