rank,title,singer,album,date,like,year,month,day,week,season
1,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2024.01.01,114191,2023,1,1,1,1
2,Drama,aespa,Drama - The 4th Mini Album,2024.01.01,85818,2023,1,1,1,1
3,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2024.01.01,143931,2023,1,1,1,1
4,비의 랩소디,임재현,비의 랩소디,2024.01.01,68931,2023,1,1,1,1
5,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.01,287040,2023,1,1,1,1
7,인사,범진,인사,2024.01.01,107860,2023,1,1,1,1
8,Baddie,IVE (아이브),I'VE MINE,2024.01.01,68660,2023,1,1,1,1
9,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.01,98248,2023,1,1,1,1
10,Love Lee,AKMU (악뮤),Love Lee,2024.01.01,121202,2023,1,1,1,1
11,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.01,208123,2023,1,1,1,1
13,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.01,69423,2023,1,1,1,1
14,에피소드,이무진,에피소드,2024.01.01,68436,2023,1,1,1,1
15,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.01,125291,2023,1,1,1,1
16,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.01,162158,2023,1,1,1,1
18,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.01,85750,2023,1,1,1,1
20,ETA,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.01,120579,2023,1,1,1,1
21,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",2024.01.01,79716,2023,1,1,1,1
24,Get A Guitar,RIIZE,Get A Guitar,2024.01.01,90308,2023,1,1,1,1
26,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,2024.01.01,76423,2023,1,1,1,1
27,Standing Next to You,정국,GOLDEN,2024.01.01,69126,2023,1,1,1,1
28,Either Way,IVE (아이브),I'VE MINE,2024.01.01,75891,2023,1,1,1,1
29,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",스트릿 우먼 파이터2(SWF2) 계급미션,2024.01.01,58526,2023,1,1,1,1
30,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.01,436857,2023,1,1,1,1
