rank,title,singer,album,dates
1,Magnetic,아일릿(ILLIT),SUPER REAL ME,2024.04.08 ~ 2024.04.14
2,나는 아픈 건 딱 질색이니까,(여자)아이들,2,2024.04.08 ~ 2024.04.14
3,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,2024.04.08 ~ 2024.04.14
4,밤양갱,비비 (BIBI),밤양갱,2024.04.08 ~ 2024.04.14
5,Love wins all,아이유,The Winning,2024.04.08 ~ 2024.04.14
6,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),2024.04.08 ~ 2024.04.14
7,EASY,LE SSERAFIM (르세라핌),EASY,2024.04.08 ~ 2024.04.14
8,Smart,LE SSERAFIM (르세라핌),EASY,2024.04.08 ~ 2024.04.14
9,비의 랩소디,임재현,비의 랩소디,2024.04.08 ~ 2024.04.14
10,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2024.04.08 ~ 2024.04.14
11,예뻤어,DAY6 (데이식스),Every DAY6 February,2024.04.08 ~ 2024.04.14
12,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,2024.04.08 ~ 2024.04.14
13,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.04.08 ~ 2024.04.14
14,Love 119,RIIZE,Love 119,2024.04.08 ~ 2024.04.14
15,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2024.04.08 ~ 2024.04.14
16,홀씨,아이유,The Winning,2024.04.08 ~ 2024.04.14
17,헤어지자 말해요,박재정,1집 Alone,2024.04.08 ~ 2024.04.14
18,에피소드,이무진,에피소드,2024.04.08 ~ 2024.04.14
19,Drama,aespa,Drama - The 4th Mini Album,2024.04.08 ~ 2024.04.14
20,인사,범진,인사,2024.04.08 ~ 2024.04.14
21,I AM,IVE (아이브),I've IVE,2024.04.08 ~ 2024.04.14
22,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.04.08 ~ 2024.04.14
23,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.04.08 ~ 2024.04.14
24,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',2024.04.08 ~ 2024.04.14
25,꿈,태연 (TAEYEON),웰컴투 삼달리 OST Part.3,2024.04.08 ~ 2024.04.14
26,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.04.08 ~ 2024.04.14
27,Love Lee,AKMU (악뮤),Love Lee,2024.04.08 ~ 2024.04.14
28,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.04.08 ~ 2024.04.14
29,Super Lady,(여자)아이들,2,2024.04.08 ~ 2024.04.14
30,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.04.08 ~ 2024.04.14
31,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.04.08 ~ 2024.04.14
