rank,title,singer,album,date,like
1,Perfect Night,Perfect Night,LE SSERAFIM (르세라핌),2024.01.01 ~ 2024.01.07,114116
2,Drama,Drama - The 4th Mini Album,aespa,2024.01.01 ~ 2024.01.07,85697
3,To. X,To. X - The 5th Mini Album,태연 (TAEYEON),2024.01.01 ~ 2024.01.07,143671
4,비의 랩소디,비의 랩소디,임재현,2024.01.01 ~ 2024.01.07,68681
5,첫 눈,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',EXO,2024.01.01 ~ 2024.01.07,287034
6,헤어지자 말해요,1집 Alone,박재정,2024.01.01 ~ 2024.01.07,169627
7,인사,인사,범진,2024.01.01 ~ 2024.01.07,107629
8,Baddie,I'VE MINE,IVE (아이브),2024.01.01 ~ 2024.01.07,68611
9,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),2024.01.01 ~ 2024.01.07,97958
10,Love Lee,Love Lee,AKMU (악뮤),2024.01.01 ~ 2024.01.07,121154
11,Seven (feat. Latto) - Clean Ver.,Seven (feat. Latto) - Clean Ver.,정국,2024.01.01 ~ 2024.01.07,208049
12,I AM,I've IVE,IVE (아이브),2024.01.01 ~ 2024.01.07,213068
13,You & Me,JENNIE Special Single [You & Me],제니 (JENNIE),2024.01.01 ~ 2024.01.07,69355
14,에피소드,에피소드,이무진,2024.01.01 ~ 2024.01.07,68262
15,후라이의 꿈,Love Lee,AKMU (악뮤),2024.01.01 ~ 2024.01.07,125223
16,Super Shy,NewJeans 2nd EP 'Get Up',NewJeans,2024.01.01 ~ 2024.01.07,162114
17,Ditto,NewJeans 'OMG',NewJeans,2024.01.01 ~ 2024.01.07,281545
18,사막에서 꽃을 피우듯,사막에서 꽃을 피우듯,우디 (Woody),2024.01.01 ~ 2024.01.07,85629
19,너의 모든 순간,별에서 온 그대 OST Part.7,성시경,2024.01.01 ~ 2024.01.07,295794
20,ETA,NewJeans 2nd EP 'Get Up',NewJeans,2024.01.01 ~ 2024.01.07,120528
21,"잘 지내자, 우리 (여름날 우리 X 로이킴)","잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,2024.01.01 ~ 2024.01.07,79589
22,퀸카 (Queencard),I feel,(여자)아이들,2024.01.01 ~ 2024.01.07,143688
23,Hype Boy,NewJeans 1st EP 'New Jeans',NewJeans,2024.01.01 ~ 2024.01.07,287856
24,Get A Guitar,Get A Guitar,RIIZE,2024.01.01 ~ 2024.01.07,90163
25,사랑은 늘 도망가,신사와 아가씨 OST Part.2,임영웅,2024.01.01 ~ 2024.01.07,212151
26,별 떨어진다 (I Do),기대 - The 2nd Mini Album,디오 (D.O.),2024.01.01 ~ 2024.01.07,76320
27,Standing Next to You,GOLDEN,정국,2024.01.01 ~ 2024.01.07,69049
28,Either Way,I'VE MINE,IVE (아이브),2024.01.01 ~ 2024.01.07,75855
