rank,title,singer,album,date,like,month,year,season
1,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2024.01.01.01,114191,1,2024,winter
2,Drama,aespa,Drama - The 4th Mini Album,2024.01.01.01,85818,1,2024,winter
3,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2024.01.01.01,143931,1,2024,winter
4,비의 랩소디,임재현,비의 랩소디,2024.01.01.01,68931,1,2024,winter
5,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.01.01,287040,1,2024,winter
6,헤어지자 말해요,박재정,1집 Alone,2024.01.01.01,169714,1,2024,winter
7,인사,범진,인사,2024.01.01.01,107860,1,2024,winter
8,Baddie,IVE (아이브),I'VE MINE,2024.01.01.01,68660,1,2024,winter
9,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.01.01,98248,1,2024,winter
10,Love Lee,AKMU (악뮤),Love Lee,2024.01.01.01,121202,1,2024,winter
11,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.01.01,208123,1,2024,winter
12,I AM,IVE (아이브),I've IVE,2024.01.01.01,213131,1,2024,winter
13,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.01.01,69423,1,2024,winter
14,에피소드,이무진,에피소드,2024.01.01.01,68436,1,2024,winter
15,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.01.01,125291,1,2024,winter
16,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.01.01,162158,1,2024,winter
17,Ditto,NewJeans,NewJeans 'OMG',2024.01.01.01,281588,1,2024,winter
18,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.01.01,85750,1,2024,winter
19,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.01.01.01,295879,1,2024,winter
20,ETA,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.01.01,120579,1,2024,winter
21,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",2024.01.01.01,79716,1,2024,winter
22,퀸카 (Queencard),(여자)아이들,I feel,2024.01.01.01,143725,1,2024,winter
23,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.01.01,287894,1,2024,winter
24,Get A Guitar,RIIZE,Get A Guitar,2024.01.01.01,90308,1,2024,winter
25,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.01.01.01,212198,1,2024,winter
26,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,2024.01.01.01,76423,1,2024,winter
27,Standing Next to You,정국,GOLDEN,2024.01.01.01,69126,1,2024,winter
